Province,District,Ss,S1
Suphan Buri,Danchang,0.494,0.146
Suphan Buri,Doembangnangbuat,0.188,0.08
Suphan Buri,Bangplama,0.204,0.083
Suphan Buri,Mueangsupanburi,0.258,0.096
Suphan Buri,Sriprachan,0.186,0.079
Suphan Buri,Songphinong,0.246,0.093
Suphan Buri,Samchuk,0.2,0.082
Suphan Buri,Nongyasai,0.311,0.106
Suphan Buri,Uthong,0.346,0.115
Surat Thani,Kayachondit,0.138,0.076
Surat Thani,Kophangan,0.066,0.061
Surat Thani,Kosamui,0.076,0.062
Surat Thani,Khiriratnikm,0.276,0.091
Surat Thani,Khiansa,0.236,0.086
Surat Thani,Chaiburi,0.228,0.094
Surat Thani,Chaiา,0.163,0.08
Surat Thani,Donsak,0.109,0.069
Surat Thani,Thachang,0.199,0.083
Surat Thani,Thachana,0.175,0.081
Surat Thani,Bantakhun,0.31,0.095
Surat Thani,Bannadoem,0.207,0.083
Surat Thani,Bannasan,0.195,0.083
Surat Thani,Phanom,0.291,0.098
Surat Thani,Phrasaeng,0.264,0.095
Surat Thani,Phunphin,0.218,0.083
Surat Thani,Mueangsurattthani,0.188,0.08
Surat Thani,Wiphaodi,0.296,0.093
Surat Thani,Wiangsra,0.201,0.084
Surin,Kapchoeng,0.033,0.023
Surin,Khewasinrin,0.035,0.024
Surin,Chomphra,0.036,0.024
Surin,Chumpnburi,0.037,0.025
Surin,Thatum,0.036,0.024
Surin,Nonnarai,0.035,0.024
Surin,Buachet,0.032,0.022
Surin,Prasat,0.034,0.024
Surin,Phanomdongrak,0.034,0.023
Surin,Mueangsurin,0.035,0.024
Surin,Ratnburi,0.036,0.024
Surin,Lamduan,0.034,0.023
Surin,Siknphumi,0.034,0.023
Surin,Srinrong,0.033,0.023
Surin,Sanom,0.036,0.024
Surin,Sangkha,0.033,0.022
Surin,Samrongthap,0.034,0.023
Nong Khai,Thabo,0.212,0.051
Nong Khai,Faorai,0.191,0.05
Nong Khai,Photak,0.208,0.052
Nong Khai,Phonphisai,0.218,0.052
Nong Khai,Mueangnongkhai,0.196,0.048
Nong Khai,Ratnwapi,0.211,0.053
Nong Khai,Srichianghaim,0.197,0.05
Nong Khai,Srakhain,0.192,0.047
Nong Khai,Sangkm,0.2,0.053
Nong Bua Lam Phu,Naklang,0.165,0.045
Nong Bua Lam Phu,Nawang,0.178,0.047
Nong Bua Lam Phu,Nonsang,0.083,0.035
Nong Bua Lam Phu,Mueangnongbualamphu,0.132,0.041
Nong Bua Lam Phu,Sribunrueang,0.102,0.037
Nong Bua Lam Phu,Suankhuha,0.198,0.05
Ang Thong,Chaiyo,0.116,0.062
Ang Thong,Pamok,0.121,0.062
Ang Thong,Phothong,0.146,0.07
Ang Thong,Mueangangthong,0.12,0.062
Ang Thong,Wisetchaichan,0.135,0.066
Ang Thong,Samko,0.151,0.071
Ang Thong,Saeongha,0.13,0.065
Amnat Charoen,Chanuman,0.043,0.025
Amnat Charoen,Pathumratwangasa,0.038,0.024
Amnat Charoen,Phana,0.036,0.023
Amnat Charoen,Mueangamnatcherin,0.038,0.024
Amnat Charoen,Lueamnat,0.037,0.023
Amnat Charoen,Senangkhnikm,0.04,0.025
Amnat Charoen,Huataphan,0.037,0.024
Udon Thani,Kukaew,0.095,0.036
Udon Thani,Kutchap,0.184,0.047
Udon Thani,Kumpwapi,0.104,0.037
Udon Thani,Chaiwan,0.108,0.038
Udon Thani,Thungafon,0.132,0.041
Udon Thani,Nayung,0.213,0.054
Udon Thani,Namsom,0.215,0.053
Udon Thani,Nonsaat,0.083,0.035
Udon Thani,Bandung,0.181,0.048
Udon Thani,Banphue,0.208,0.051
Udon Thani,Prachaksinpakhom,0.124,0.039
Udon Thani,Phibunrak,0.18,0.047
Udon Thani,Phen,0.254,0.057
Udon Thani,Mueangutnthani,0.176,0.045
Udon Thani,Wangsammo,0.066,0.032
Udon Thani,Srithatu,0.074,0.033
Udon Thani,Srangkhom,0.25,0.057
Udon Thani,Nongwuaso,0.124,0.04
Udon Thani,Nongsaeng,0.108,0.038
Udon Thani,Nonghan,0.128,0.04
Uttaradit,Tron,0.684,0.167
Uttaradit,Thongsaenkhan,0.57,0.134
Uttaradit,Thapla,0.671,0.159
Uttaradit,Nampat,0.526,0.118
Uttaradit,Bankhok,0.484,0.108
Uttaradit,Phichai,0.617,0.154
Uttaradit,Faktha,0.505,0.114
Uttaradit,Mueangutndit,0.579,0.139
Uttaradit,Laplae,0.558,0.135
Uthai Thani,Thapthan,0.244,0.091
Uthai Thani,Banrai,0.299,0.107
Uthai Thani,Mueanguthaithani,0.165,0.074
Uthai Thani,Lansak,0.321,0.109
Uthai Thani,Swangan,0.202,0.081
Uthai Thani,Nongkhayang,0.189,0.08
Uthai Thani,Nongchang,0.281,0.1
Uthai Thani,Huaikhot,0.379,0.123
Ubon Ratchathani,Kutkhaopun,0.037,0.023
Ubon Ratchathani,Khemrath,0.039,0.024
Ubon Ratchathani,Khueangnai,0.035,0.023
Ubon Ratchathani,Khongchiam,0.032,0.02
Ubon Ratchathani,Donmadadaeng,0.034,0.022
Ubon Ratchathani,Detutm,0.031,0.02
Ubon Ratchathani,Trakanphuetpn,0.035,0.022
Ubon Ratchathani,Tansum,0.033,0.021
Ubon Ratchathani,Thungsriutm,0.03,0.02
Ubon Ratchathani,Nachaluai,0.028,0.018
Ubon Ratchathani,Natan,0.037,0.023
Ubon Ratchathani,Nayia,0.031,0.02
Ubon Ratchathani,Namkhun,0.029,0.019
Ubon Ratchathani,Namyuen,0.029,0.019
Ubon Ratchathani,Buntrik,0.029,0.019
Ubon Ratchathani,Phibunmangsahan,0.031,0.02
Ubon Ratchathani,Phothrai,0.036,0.023
Ubon Ratchathani,Muangsamsip,0.035,0.023
Ubon Ratchathani,Mueangupnratthani,0.033,0.021
Ubon Ratchathani,Warinchamrap,0.033,0.021
Ubon Ratchathani,Srimueangaim,0.034,0.021
Ubon Ratchathani,Swangwirawong,0.032,0.021
Ubon Ratchathani,Sirintn,0.031,0.02
Ubon Ratchathani,Samrong,0.032,0.021
Ubon Ratchathani,Elasueakok,0.034,0.022
